Alliance,DMN,BOM,WAR,NO1,GWA,AFC,KBS,FKK,POL,SIN,GOO,DVN,WKX,BCL
Day 1,141816880,117622630,56476130,22947550,21664730,19976810,18483060,15641470,14070450,10491870,10084280,8091720,5007790,4746840
Day 2,104330353,103696854,69610352,52105208,26523404,36475106,32638465,28153741,22120232,20291008,21262522,14132968,10686170,10346298
Day 3,250501750,181530100,124489870,75473940,46284480,62708620,52256570,47074370,48016640,34315260,34853070,28224790,21647340,15809030
Day 4,180363742,174637864,75271063,49901591,25854061,53444952,30380689,25143108,22037581,16743950,19341767,10134626,10346719,8190559
Day 5,184203040,122043290,59600660,42218630,25441090,31085460,31117750,27737040,21649030,16594360,20739150,20517250,9837120,7205170
Day 6,3034435207,2618784241,849525593,310804426,64366028,230001755,79310557,149754412,79559382,54388436,24431742,13077119,36807153,11653343
