Alliance,TBL,AOT,ARC,COR,LmL,ARM,OWN,VGD,AHC,VgD,Aot,WOS
Day 1,70441290,67313740,59858750,30055490,25639130,19719540,19176590,15731920,8640880,8764440,6147790,4911690
Day 2,73366038,72532451,75306825,37702362,35475106,29489982,23690997,26919420,18548074,14489913,13170318,5688040
Day 3,189070010,153112950,134617060,98489390,66406820,51275380,36470700,58226480,26872700,34087840,24143080,11159050
Day 4,115619637,123072081,81963891,64518685,53624221,29549809,20875039,32167743,12404783,25217393,11020255,6728204
Day 5,72881380,92544450,81922280,45236680,34651040,28303530,30121430,21372910,10281550,14962560,11859080,4552690
Day 6,214379299,4471535735,2071228567,105449889,81062971,62605667,29764728,150421869,38404080,123842220,31849745,3957048
